file,text,translation,a,b,c,d,note
qlv2_08,詩音の通っていた学校は？,,"聖ルチーア
圣露琪亚","聖マリア
圣玛利亚","聖ナポリ
圣纳波利","聖セレナ
圣塞蕾娜",
qlv2_09,"｢暇潰し編｣で赤坂に接触した
情報屋は？",,"サトさん
沙都子","ソトさん
沙外","ミチさん
美智","スズさん
铃小姐",
qlv2_10,赤坂の娘の名前は？,,"美雪
美雪","深雪
深雪","美幸
美幸","みゆき
美雪",
qlv2_11,"退職後の大石､
｢なに｣ダイエットをやり始めた？",,"リンゴ
苹果","絶食
绝食","バナナ
香蕉","炭水化物
碳水化合物",
qlv2_12,退職後の大石､何を始めた？,,"社交ダンス
社交舞","農業
农业","盆栽
盆栽","ゲートボール
门球",
qlv2_13,警視庁の赤坂､所属は公安のどこ？,,"第七室
第七室","第五室
第五室","第一室
第一室","第零室
第零室",
qlv2_14,巴とまどか､歳の差は何歳？,,"3歳
3岁","2歳
2岁","5歳
5岁","4歳
4岁",
qlv2_15,山沖薫､出身はどこ？,,"山口
山口","長崎
长崎","和歌山
和歌山","愛媛
爱媛",
qlv2_16,葛西タツヨシ､漢字で書くと？,,"辰由
辰由","辰吉
辰吉","辰良
辰良","辰義
辰义",
qlv2_17,"魅音と詩音の違い､
決定的な違いは？",,"刺青
刺青","胸
胸","髪形
发型","頭の良さ
头脑好",
qlv2_18,大石の部下の熊谷､下の名前は？,,"勝也
胜也","篤士
笃士","拓央
拓央","充
充",
qlv2_19,"昼壊し編で無くなったのは､
｢なに｣の勾玉？",,"フワラズ
弗瓦拉兹","フラワズ
弗拉瓦兹","プリホル
普利霍尔","ワラフズ
瓦拉夫兹",
qlv2_20,"｢昼壊し編｣､
原作と異なっていないのは？",,"最初に惚れる相手
最初迷恋的对象","圭一の固有結界
圭一的固有结界","最後の対決方法
最后的对决方法","羽入と詩音の有無
羽入和诗音的有无",
qlv2_21,"畠山家で起きた､一家惨殺事件。
犯人は誰？",,"あおい
葵","正雄
正雄","一馬
一马","芳子
芳子",
qlv2_22,"｢目明し編｣で詩音がアルバイト
していたのは､どこ？",,"ファミレス
家庭餐厅","おもちゃ屋
玩具店","図書館
图书馆","キャバクラ
夜总会",
qlv2_23,"｢綿流し編｣､祭具殿で
変な足音を聞いたのは誰？",,"詩音
诗音","鷹野
鹰野","富竹
富竹","圭一
圭一",
qlv2_24,赤坂雪絵の声優さんは？,,"水野理紗
水野理纱","松井菜桜子
松井菜樱子","前田愛
前田爱","井上麻里奈
井上麻里奈",
qlv2_25,"絆シリーズで､声優名が伏せられた
ことのあるキャラは？",,"赤坂美雪
赤坂美雪","田無美代子
田无美代子","十和田八重
十和田八重","南井まどか
南井圆",
qlv2_26,"｢プレイス・オプブ・ピリオド｣､
歌ったのは誰？",,"諫山実生
谏山实生","いとうかなこ
伊藤香奈子","彩音
彩音","Cyua
Cyua",
qlv2_27,"｢目明し編｣､
エンディングテーマは何？",,"you
you","そらのむこう
天空的彼岸","Friend
Friend","escape
escape",
qlv2_28,"原作版から欠かせない作曲家さん､
名前はなんという？",,"dai
dai","doi
doi","bai
bai","boi
boi",
qlv2_29,"ひぐらし外伝シリーズ､
ベースになったのは何編？",,"鬼曝し編
鬼曝篇","現壊し編
现坏篇","心癒し編
心愈篇","燕返し編
燕返篇",
qlv2_30,"｢昼壊し編｣､
何のゲームをベースに書かれた？",,"ひデブ
蝉猪","さンゴ
三语","トさカ
鸟坂","たワバ
田羽场",
qlv2_31,一年目の犠牲者､それは誰？,,"現場監督
现场监督","北条夫妻
北条夫妻","古手夫妻
古手夫妻","北条玉枝
北条玉枝",
qlv2_32,二年目の犠牲者､それは誰？,,"北条夫妻
北条夫妻","現場監督
现场监督","古手夫妻
古手夫妻","北条玉枝
北条玉枝",
qlv2_33,三年目の犠牲者､それは誰？,,"古手夫妻
古手夫妻","現場監督
现场监督","北条夫妻
北条夫妻","北条玉枝
北条玉枝",
qlv2_34,四年目の犠牲者､それは誰？,,"北条玉枝
北条玉枝","現場監督
现场监督","北条夫妻
北条夫妻","古手夫妻
古手夫妻",
qlv2_35,絆シリーズ第二巻､出たのは何年？,,"2008年
2008年","2007年
2007年","2009年
2009年","2010年
2010年",
qlv2_36,"祭シリーズ､
のちに出た時のタイトルは？",,"カケラ遊び
碎片游戏","カケラ紡ぎ
碎片纺织","カケラ結び
碎片连结","カケラ弾き
碎片弹奏",
qlv2_37,"富竹ジロウ､
役どころからついたアダ名は？",,"時報
报时","空気
空气","フラグ
旗标","通過点
通过点",
qlv2_38,"キャラクターデザインの｢らと｣さん､
文字はなんと書く？",,"rato
rato","Rato
Rato","RATO
RATO","Lato
Lato",
qlv2_39,"ひぐらしのなく頃に絆､
第二巻は？",,"想
想","祟
祟","螺
螺","絆
绊",
qlv2_40,"この文字､なんて読む？

谷河内",,"やごうち
谷河内","たにごうち
谷河内","たにこうち
谷河内","たにかわち
谷河内",
qlv2_41,この絵の制服を着ているのは？,这幅图像中穿着制服的是谁？,"沙都子
沙都子","レナ
蕾娜","詩音
诗音","梨花
梨花",
qlv2_42,この絵の制服を着ているのは？,这幅图像中穿着制服的是谁？,"梨花
梨花","夏美
夏美","魅音
魅音","詩音
诗音",
qlv2_43,この絵の制服を着ているのは？,这幅图像中穿着制服的是谁？,"詩音
诗音","魅音
魅音","レナ
蕾娜","夏美
夏美",
qlv2_44,この絵の制服を着ているのは？,这幅图像中穿着制服的是谁？,"夏美
夏美","レナ
蕾娜","沙都子
沙都子","梨花
梨花",
qlv2_45,"この口癖をしているのは､誰？

おじさん",,"魅音
魅音","レナ
蕾娜","沙都子
沙都子","梨花
梨花",
qlv2_46,このキャラは誰？,这个角色是谁？,"梨花
梨花","沙都子
沙都子","美雪
美雪","夏美
夏美",
qlv2_47,このキャラは誰？,这个角色是谁？,"赤坂
赤坂","戦人
战人","保坂
保坂","空条
空条",
qlv2_48,このキャラは誰？,这个角色是谁？,"詩音
诗音","嘉音
嘉音","紗音
纱音","明日音
明日音",
qlv2_49,このキャラは誰？,这个角色是谁？,"亀田
龟田","田中
田中","烏養
乌养","小林
小林",
qlv2_50,このキャラは誰？,这个角色是谁？,"悟史
悟史","鉄平
铁平","聡志
聪志","嘉音
嘉音",
qlv2_51,このキャラは誰？,这个角色是谁？,"巴
巴","一美
一美","薙
薙","麻尋
麻寻",
qlv2_52,このキャラは誰？,这个角色是谁？,"大石
大石","鎌霧
镰雾","磯野
矶野","目暮
目暮",
qlv2_53,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"田村ゆかり
田村由香里","村田ゆかり
村田由香里","田村ゆりか
田村由里香","完売なのは
售罄的是",
qlv2_54,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"小野大輔
小野大辅","右代宮大輔
右代宫大辅","小野清舟
小野清舟","小野かおる
小野薰",
qlv2_55,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"ゆきのさつき
雪野五月","ゆきのむつき
雪野一月","きみざわさつき
君泽五月","ゆきのかなめ
雪野要",
qlv2_56,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"田中一成
田中一成","田中三成
田中三成","道頓堀一成
道顿堀一成","田中拳
田中拳",
qlv2_57,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"小林ゆう
小林优","木林ゆう
木林优","小林ゆゆ
小林优优","サシャ・葛城
萨沙・葛城",
qlv2_58,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"井ノ上奈々
井上奈奈","井上七
井上七","川淵奈々
川渊奈奈","仙堂奈々
仙堂奈奈",
qlv2_59,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"茶風林
茶风林","茶風鈴
茶风铃","滝口林
泷口林","永沢秀治
永泽秀治",
qlv2_60,このキャラを演した声優さんは？,这个角色的出演声优是谁？,"沢城みゆき
泽城美雪","沢城美雪
泽城美雪","沢代みゆき
泽代美雪","銅鑼野織乃楠
铜锣野织乃楠",
qlv3_01,南井巴の出身大学は？,,"鹿嶋大
鹿岛大","水戸大
水户大","日立大
日立大","土浦大
土浦大",
qlv3_02,垣内署の署長､山沖薫の階級は？,,"警視正
警视正","警視
警视","警視長
警视长","警部
警部",
qlv3_03,魅音の親戚､議員さんは誰？,,"三郎
三郎","善郎
善郎","弘
弘","義郎
义郎",
qlv3_04,南井巴の陸上部時代の種目は？,,"走り高跳び
跳高","マラソン
马拉松","やり投げ
投掷标枪","短距離走
短跑",
qlv3_05,"大高の所属する県警本部､
どこにある？",,"穀倉
谷仓","谷河内
谷河内","興宮
兴宫","天竺
天竺",
qlv3_06,レナの仕掛けた爆弾の仕組みは？,,"キッチンタイマー
厨房计时器","目覚まし時計
闹钟","フーコーの振り子
傅科摆","形状記憶合金
形状记忆合金",
qlv3_07,"大石の上司､
刑事課の課長の名前は？",,"高杉
高杉","大杉
大杉","出木杉
出木杉","千年杉
千年杉",
qlv3_08,羽入の好物は？,,"正解はない
没有正确答案","キムチ
泡菜","ワサビ
山葵","ハバネロ
哈瓦那椒",
qlv3_09,梨花の好きなものは？,,"ぶどうジュース
葡萄汁","りんごジュース
苹果汁","梅酒
梅酒","焼肉のたれ
烤肉酱",
qlv3_10,"山沖のエンジェルモートでの
称号は？",,"大公爵
大公爵","帝王
帝王","神
神","おっさん
大叔",
qlv3_11,"園崎家の秘宝､｢シンレイ｣､
漢字で書くと？",,"振鈴
振铃","心霊
心灵","神鈴
神铃","神礼
神礼",
qlv3_12,園崎家の家宝の剣､｢なに｣弾き？,,"たま
球","つま
妻","しま
岛","てま
工夫",
qlv3_13,"八重の恋人､黒澤タクE。
漢字で書くと？",,"工
工","匠
匠","巧
巧","卓
卓",
qlv3_14,"ライターの荒川龍ノ介､
専門ジャンルは？",,"オカルト
灵异","スポーツ
运动","ＳＦ
ＳＦ","芸能
艺能",
qlv3_15,反町美雪､父親は誰？,,"赤坂
赤坂","大石
大石","富竹
富竹","圭一
圭一",
qlv3_16,園崎家の裏切り者､名前は？,,"三船
三船","渡
渡","加山
加山","石原
石原",
qlv3_17,"｢鬼隠し編｣の圭一､
何を注射器だと思った？",,"サインペン
记号笔","泡だて器
打蛋器","リモコン
遥控器","しゃもじ
饭勺",
qlv3_18,"間宮リ大､勤めているのは
｢なに｣マーメイド？",,"ブルー
蓝色","リトル
小","レッド
红色","デス
死亡",
qlv3_19,乙部彰､どうして借金をした？,,"彼女
她","競馬
赛马","パチンコ
弹珠机","宗教
宗教",
qlv3_20,集団自殺､生き残ったのは誰？,,"乙部
乙部","芥川
芥川","千秋
千秋","真知子
真知子",
qlv3_21,尾崎渚､所属していたクラブは？,,"園芸部
园艺部","演劇部
演剧部","吹奏楽部
吹奏乐部","文芸部
文艺部",
qlv3_22,尾崎渚の彼氏､名前は｢なに｣公平？,,"澤村
泽村","田中
田中","前田
前田","大谷
大谷",
qlv3_23,園崎茜､別の漢字で書くと？,,"蒐
蒐","朱
朱","明
明","愛
爱",
qlv3_24,"間宮リナの結婚詐欺､
レナはどこで確信した？",,"喫茶店で立ち聞き
在咖啡店偷听","預金が減った
存款减少了","家具が増えた
家具增加了","父のキャバクラ
爸爸的夜总会",
qlv3_25,レナの元母親､職業は何？,,"デザイナー
设计师","教師
教师","モデル
模特","アナウンサー
播音员",
qlv3_26,羽入のNGワード､それは何？,,"バケモノ
怪物","悪魔
恶魔","鬼
鬼","宇宙人
外星人",
qlv3_27,鷹野三四､なりたかったものは何？,,"神
神","考古学者
考古学家","医師
医师","政治家
政治家",
qlv3_28,雛見沢分校､生徒数は何名？,,"26名
26名","27名
27名","30名
30名","21名
21名",
qlv3_29,"｢罪滅し編｣の屋上対決､
圭一はなんと言った？",,"ルナティック
疯狂的","オカルティック
灵异的","カオティック
混沌的","アクロバティック
杂技般的",
qlv3_30,"｢罪滅し編｣で大高が呼び寄せた
鎮圧部隊､どこから来た？",,"大阪府警
大阪府警","警視庁
警视厅","岐阜県警
岐阜县警","愛知県警
爱知县警",
qlv3_31,"｢光の空のクオリア｣､
歌ったのは誰？",,"Cyua
Cyua","いとうかなこ
伊藤香奈子","彩音
彩音","諫山実生
谏山实生",
qlv3_32,｢escape｣､歌ったのは誰?,,"いとうかなこ
伊藤香奈子","彩音
彩音","Cyua
Cyua","諫山実生
谏山实生",
qlv3_33,"｢罪滅し編｣､
エンディングテーマは何？",,"escape
escape","そらのむこう
天空的彼岸","you
you","Friend
Friend",
qlv3_34,"｢光の空のクオリア｣､
歌詞からなんという
あだ名が付いた？",,"ヤンデレ
病娇","ツンデレ
傲娇","クーデレ
酷娇","極デレ
极娇",
qlv3_35,"コ三ックの｢宵越し編｣､
ゲームと何が違う？",,"キャラが増えた
角色增加了","死人が多い
死人很多","バッドエンド
坏结局","年号が違う
年号不同",
qlv3_36,"絆シリーズの｢宵越し編｣､
脚本を担当したのは？",,"宮城季詩子
宫城季诗子","中野麻衣
中野麻衣","中村慎介
中村慎介","鴻野貴光
鸿野贵光",
qlv3_37,絆シリーズ第三巻､出たのは何年？,,"2009年
2009年","2007年
2007年","2008年
2008年","2010年
2010年",
qlv3_38,"雛見沢症候群､
症状に当てはまらないのは？",,"吸血欲求
吸血欲求","疑心暗鬼
疑心暗鬼","喉が痒くなる
喉咙发痒","幻覚が見える
能看到幻觉",
qlv3_39,"ひぐらしのなく頃に絆､
第三巻は？",,"螺
螺","祟
祟","想
想","絆
绊",
qlv3_40,"ひぐらし全シリーズ､
ー番台詞の多かった声優さんは？",,"ゆきのさつき
雪野五月","保志総一朗
保志总一朗","中原麻衣
中原麻衣","田村ゆかり
田村由香里",
qlv3_41,祭シリーズ､出たのは何年？,,"2007年
2007年","2006年
2006年","2008年
2008年","2009年
2009年",
qlv3_42,"この文字､なんて読む？

榖倉",,"ごぐら
御藏","こくそう
黑草","こくら
小仓","ごくら
极乐",
qlv3_43,"この名前､なんて言う？

小此木",,"おこのぎ
小此木","こひぎ
小比木","ここのぎ
小此木","ここぎ
小此木",
qlv3_44,"この口癖をしているのは､誰？

はう",,"レナ
蕾娜","魅音
魅音","沙都子
沙都子","梨花
梨花",
qlv3_45,"この口癖をしているのは､誰？

を一つっほつほっほっ",,"沙都子
沙都子","レナ
蕾娜","魅音
魅音","梨花
梨花",
qlv3_46,"この口癖をしているのは､誰？

みい",,"梨花
梨花","レナ
蕾娜","魅音
魅音","沙都子
沙都子",
qlv3_47,このキャラは誰？,这个角色是谁？,"乙部
乙部","甲部
甲部","乙吉
乙吉","光希
光希",
qlv3_48,このキャラは誰？,这个角色是谁？,"八重
八重","二重
二重","一重
一重","沙英
沙英",
qlv3_49,このキャラは誰？,这个角色是谁？,"渚
渚","薫
薰","慎
慎","梢
梢",
qlv3_50,このキャラは誰？,这个角色是谁？,"塚田
塚田","山田
山田","有田
有田","満田
满田",
qlv3_51,このキャラは誰？,这个角色是谁？,"まどか
圆","ほむら
炎","きょうこ
恭子","さやか
沙也加",
qlv3_52,このキャラは誰？,这个角色是谁？,"入江
入江","大石
大石","鷹野
鹰野","ＪＪ・リックス
ＪＪ・里克斯",
qlv3_53,このキャラは誰？,这个角色是谁？,"知恵
知惠","巴
巴","まどか
圆","茜
茜",
qlv3_54,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"宮田幸季
宫田幸季","田宮幸季
田宫幸季","宮田光貴
宫田光贵","不二咲照文
不二咲照文",
qlv3_55,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"新谷良子
新谷良子","新谷涼子
新谷凉子","仁井谷良子
仁井谷良子","ミルフィ・桜木
米露菲・樱木",
qlv3_56,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"仁後真耶子
仁后真耶子","二五真耶子
二五真耶子","人御摩耶子
人御摩耶子","リリカ・高槻
莉莉卡・高槻",
qlv3_57,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"中村悠一
中村悠一","仲村悠一
仲村悠一","中村裕一
中村裕一","リカルド・早乙女
里卡多・早乙女",
qlv3_58,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"下田麻美
下田麻美","志茂田麻美
志茂田麻美","下田麻実
下田麻实","亜美真美
亚美真美",
qlv3_59,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"関俊彦
关俊彦","石俊彦
石俊彦","関利彦
关利彦","加賀桃太郎
加贺桃太郎",
qlv3_60,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"折笠富美子
折笠富美子","織笠富美子
织笠富美子","折笠富子
折笠富子","シエル・南野
希尔・南野",
qlv4_01,"しらかば山荘事件が
起きたのは､何年？",,"1970年
1970年","1971年
1971年","1972年
1972年","1969年
1969年",
qlv4_02,花田刑事の趣味は？,,"カーレース
赛车","盆栽
盆栽","射撃
射击","読書
读书",
